Lab_ID	species_2018	Site	Year	RADseq_done	RADseq_pass	RADseq_rescue	DnaConc_Duke
MG 16	Mg	Tsimelahy TM	2008	1	1	0	20.8
MG 17	Mm	Tsimelahy	2008	1	1	0	16
MG 18	Hy	Tsimelahy	2008	1	1	0	11.6
MG 19	Mm	Tsimelahy	2008	1	0	1	22
MG 20	Mg	Tsimelahy	2008	1	1	0	8
MG 21	Mm	Tsimelahy	2008	0	NA	NA	NA
MG 22	Mg	Mangatsiaka	2017	1	1	0	22.2
MG 23	Mm	Mangatsiaka	2017	1	1	0	23.8
MG 24	Hy	Mangatsiaka	2017	1	1	0	13.9
MG 25	Mg	Mangatsiaka	2017	1	1	0	18.8
MG 26	Hy	Mangatsiaka	2017	1	1	0	21.6
MG 27	Hy	Mangatsiaka	2017	1	1	0	13.9
MG 28	Mm	Mangatsiaka	2017	1	1	0	38
MG 29	Mm	Mangatsiaka	2017	0	NA	NA	NA
MG 30	Mm	Mangatsiaka	2017	0	NA	NA	NA
MG 31	Mm	Mangatsiaka	2017	0	NA	NA	NA
MG 32	Mm	Mangatsiaka	2017	0	NA	NA	NA
MG 33	Mm	Mangatsiaka	2017	0	NA	NA	NA
MG 34	Hy	Tsitongambarika	2013	1	1	0	12.6
MG 35	Mm	Tsitongambarika	2013	0	NA	NA	NA
MG 36	Mm	Tsitongambarika	2013	0	NA	NA	NA
MG 37	Mg	Tsitongambarika	2013	0	NA	NA	NA
MG 38	Mm	Tsitongambarika	2013	0	NA	NA	NA
MG 39	Mm	Tsitongambarika	2013	0	NA	NA	NA
